0	0.8	0.1	0.05	0.05	0	-0.02	-0.02	-0.02	-0.03
0.4	0.85	0.2	0.05	0.05	0.01	0	0	0	-0.02
0.8	0.9	0.4	0.1	0.1	0.08	0.08	0.04	0.02	0
1.2	1.2	0.7	0.5	0.3	0.21	0.15	0.11	0.07	0.04
1.6	1.35	0.9	0.7	0.5	0.21	0.14	0.1	0.06	0.04
2	1.45	1	0.8	0.5	0.2	0.14	0.1	0.06	0.04
2.4	1.55	1.05	0.8	0.55	0.19	0.13	0.07	0.05	0.04
2.8	1.6	1.1	0.85	0.55	0.18	0.13	0.09	0.05	0.04
4	1.6	1.1	0.85	0.55	0.17	0.12	0.09	0.05	0.03
5	1.6	1.1	0.85	0.55	0.16	0.11	0.08	0.05	0.03

