-0.4	0.035	0.035	0.035	0.035	0.035
0	0.035	0.037	0.037	0.037	0.037
0.4	0.038	0.044	0.045	0.045	0.045
0.8	0.037	0.048	0.051	0.055	0.055
1.2	0.035	0.045	0.051	0.055	0.057
1.6	0.033	0.041	0.046	0.051	0.054
2	0.031	0.037	0.043	0.047	0.05
2.4	0.03	0.0355	0.042	0.046	0.048
2.5	0.03	0.035	0.041	0.045	0.047
